year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
2003.0,Justin Fargas,Southern California,RB,72.9,219.0,9.75,31.0,,4.41,27.0,,137.0,,,,RB,"Justin Fargas, Southern California",True,FargJu00,3,96.0,raiders,2009.0,23.0,0.0,0.0,2.0,20.0,92.0,0.0,0.0,0.0,0.0,0.0,827.0,3369.0,10.0,77.0,523.0,0.0,20.0,,,USC,http://www.sports-reference.com/cfb/players/justin-fargas-1.html,33.0,,,,,1077.0,8.0,106.0,0.0,,,,,justinfargas,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6439"">Link</a>",Justin Fargas,RB,Southern California,2003,10.0,10.0,3,raiders
2009.0,David Buehler,Southern California,K,73.75,227.0,,,,4.63,25.0,,,,,,ST,"David Buehler, Southern California",True,BuehDa44,5,172.0,cowboys,2011.0,22.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,USC,http://www.sports-reference.com/cfb/players/david-buehler-1.html,,,,,,,,,,,,,,davidbuehler,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8495"">Link</a>",David Buehler,PK,Southern California,2009,10.0,10.0,5,cowboys
2023.0,Anthony Richardson,Florida,QB,76.25,244.0,10.5,32.75,,4.43,,40.5,129.0,,,,QB,"Anthony Richardson, Florida",True,RichAn03,1,4.0,colts,2024.0,21.0,0.0,0.0,1.0,9.0,15.0,176.0,348.0,2391.0,11.0,13.0,111.0,635.0,10.0,1.0,-1.0,0.0,,,,Florida,http://www.sports-reference.com/cfb/players/anthony-richardson-2.html,24.0,3105.0,24.0,15.0,54.7,1116.0,12.0,,,,,,,anthonyrichardson,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=15208"">Link</a>",Anthony Richardson,QB,Florida,2023,10.0,10.0,1,colts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lorenzocarter,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16552"">Link</a>",Lorenzo Carter,LB,Georgia,2018,10.0,10.0,3,giants
2023.0,Zack Kuntz,Old Dominion (VA),TE,79.38,255.0,10.25,34.0,,4.55,23.0,40.0,128.0,4.12,,,TE,"Zack Kuntz, Old Dominion (VA)",True,KuntZa00,7,220.0,jets,2024.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Old Dominion,http://www.sports-reference.com/cfb/players/zack-kuntz-1.html,39.0,,,,,0.0,0.0,862.0,7.0,,,,,zackkuntz,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16932"">Link</a>",Zack Kuntz,TE,Old Dominion,2023,10.0,10.0,7,jets
2021.0,Samuel Cosmi,Texas,OT,,,,,,,,,,,,,OL,"Samuel Cosmi, Texas",True,CosmSa00,2,51.0,commanders,2024.0,22.0,0.0,0.0,2.0,23.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas,http://www.sports-reference.com/cfb/players/samuel-cosmi-1.html,,,,,,,,,,,,,,samuelcosmi,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18005"">Link</a>",Samuel Cosmi,OG,Texas,2021,10.0,10.0,2,commanders
2021.0,Spencer Brown,Northern Iowa,OT,,,,,,,,,,,,,OL,"Spencer Brown, Northern Iowa",True,BrowSp00,3,93.0,bills,2024.0,23.0,0.0,0.0,3.0,32.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Northern Iowa,,,,,,,,,,,,,,,spencerbrown,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19067"">Link</a>",Spencer Brown,OT,Northern Iowa,2021,10.0,10.0,3,bills
2022.0,Zyon McCollum,Sam Houston State (TX),CB,74.13,199.0,9.0,30.75,,4.33,,39.5,132.0,3.94,,,DB,"Zyon McCollum, Sam Houston State (TX)",True,McCoZy02,5,157.0,buccaneers,2024.0,23.0,0.0,0.0,2.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,,Sam Houston State,,,,,,,,,,,,,,,zyonmccollum,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21142"">Link</a>",Zyon McCollum,CB,Sam Houston State,2022,10.0,10.0,5,buccaneers
2022.0,Jordan Davis,Georgia,DT,78.38,341.0,10.75,34.0,,4.78,,32.0,123.0,,,,DL,"Jordan Davis, Georgia",True,DaviJo03,1,13.0,eagles,2024.0,22.0,0.0,0.0,2.0,16.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,3.5,Georgia,http://www.sports-reference.com/cfb/players/jordan-davis-9.html,47.0,,,,,,,,,91.0,7.0,0.0,0.0,jordandavis,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21551"">Link</a>",Jordan Davis,DT,Georgia,2022,10.0,10.0,1,eagles
2024.0,Graham Barton,Duke,C,77.38,313.0,9.38,32.88,,,,,,,,,OL,"Graham Barton, Duke",True,BartGr00,1,26.0,buccaneers,2024.0,22.0,0.0,0.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Duke,http://www.sports-reference.com/cfb/players/graham-barton-1.html,,,,,,,,,,,,,,grahambarton,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=25179"">Link</a>",Graham Barton,OC,Duke,2024,10.0,10.0,1,buccaneers
