"Link","Name","POS","College","Year","RAS","Alltime RAS","Round","Draft Team"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6439"">Link</a>","Justin Fargas","RB","Southern California","2003","10.00","10.00","3","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8495"">Link</a>","David Buehler","PK","Southern California","2009","10.00","10.00","5","Cowboys"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=15208"">Link</a>","Anthony Richardson","QB","Florida","2023","10.00","10.00","1","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16552"">Link</a>","Lorenzo Carter","LB","Georgia","2018","10.00","10.00","3","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16932"">Link</a>","Zack Kuntz","TE","Old Dominion","2023","10.00","10.00","7","Jets"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18005"">Link</a>","Samuel Cosmi","OG","Texas","2021","10.00","10.00","2","Commanders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19067"">Link</a>","Spencer Brown","OT","Northern Iowa","2021","10.00","10.00","3","Bills"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21142"">Link</a>","Zyon McCollum","CB","Sam Houston State","2022","10.00","10.00","5","Buccaneers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21551"">Link</a>","Jordan Davis","DT","Georgia","2022","10.00","10.00","1","Eagles"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=25179"">Link</a>","Graham Barton","OC","Duke","2024","10.00","10.00","1","Buccaneers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27236"">Link</a>","Shemar Stewart","DE","Texas A&amp;M","2025","10.00","10.00","1","Bengals"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27292"">Link</a>","Nick Emmanwori","SS","South Carolina","2025","10.00","10.00","2","Seahawks"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=4969"">Link</a>","Edgerrin James","RB","Miami","1999","10.00","9.99","1","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5721"">Link</a>","Jarrod Cooper","SS","Kansas State","2001","10.00","9.99","5","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6056"">Link</a>","Javon Walker","WR","Florida State","2002","10.00","9.99","1","Packers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7215"">Link</a>","Matt Jones","WR","Arkansas","2005","10.00","9.99","1","Jaguars"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7541"">Link</a>","Manny Lawson","LB","North Carolina State","2006","10.00","9.99","1","49ers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7721"">Link</a>","Brannon Condren","SS","Troy","2007","9.90","9.99","4","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7730"">Link</a>","Calvin Johnson","WR","Georgia Tech","2007","10.00","9.99","1","Lions"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8081"">Link</a>","Brian Johnston","DE","Gardner-Webb","2008","10.00","9.99","7","Chiefs"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8991"">Link</a>","Joe Webb","WR","Alabama Birmingham","2010","9.99","9.99","6","Vikings"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9742"">Link</a>","Brandon Brooks","OG","Miami OH","2012","9.98","9.99","3","Texans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10102"">Link</a>","Luke Kuechly","LB","Boston College","2012","10.00","9.99","1","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11581"">Link</a>","Taylor Lewan","OT","Michigan","2014","10.00","9.99","1","Titans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11758"">Link</a>","Byron Jones","CB","Connecticut","2015","10.00","9.99","1","Cowboys"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12036"">Link</a>","Kristjan Sokoli","DT","Buffalo","2015","10.00","9.99","6","Seahawks"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12874"">Link</a>","Moritz Boehringer","WR","International","2016","9.98","9.99","6","Vikings"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14618"">Link</a>","Myles Garrett","DE","Texas A&amp;M","2017","9.99","9.99","1","Browns"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16703"">Link</a>","Mike Gesicki","TE","Penn State","2018","9.97","9.99","2","Dolphins"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16991"">Link</a>","Saquon Barkley","RB","Penn State","2018","9.97","9.99","1","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=17729"">Link</a>","Creed Humphrey","OC","Oklahoma","2021","10.00","9.99","2","Chiefs"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19693"">Link</a>","Jeremy Chinn","FS","Southern Illinois","2020","10.00","9.99","2","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19940"">Link</a>","Deonte Banks","CB","Maryland","2023","10.00","9.99","1","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21130"">Link</a>","Jelani Woods","TE","Virginia","2022","10.00","9.99","3","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21440"">Link</a>","Leo Chenal","LB","Wisconsin","2022","9.99","9.99","3","Chiefs"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21463"">Link</a>","Travon Walker","DE","Georgia","2022","9.99","9.99","1","Jaguars"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21560"">Link</a>","Troy Andersen","LB","Montana State","2022","10.00","9.99","2","Falcons"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=23041"">Link</a>","Julius Brents","CB","Kansas State","2023","9.99","9.99","2","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=25180"">Link</a>","Adonai Mitchell","WR","Texas","2024","9.99","9.99","2","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29994"">Link</a>","Monroe Freeling","OT","Georgia","2026","9.99","9.99","1","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30474"">Link</a>","Jordan Van den Berg","DT","Georgia Tech","2026","9.99","9.99","6","Bears"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27130"">Link</a>","Darien Porter","CB","Iowa State","2025","9.99","9.99","3","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30026"">Link</a>","Trey Zuhn III","OG","Texas A&amp;M","2026","9.99","9.99","3","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29867"">Link</a>","Taylen Green","QB","Arkansas","2026","9.99","9.99","6","Browns"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30114"">Link</a>","Sonny Styles","LB","Ohio State","2026","9.99","9.99","1","Commanders"
